"SRR1039508","SRR1039509","SRR1039510","SRR1039511","SRR1039512","SRR1039513","SRR1039514","SRR1039515","SRR1039516","SRR1039517","SRR1039518","SRR1039519","SRR1039520","SRR1039521","SRR1039522","SRR1039523"
3.603115,2.873036,1.406777,2.162283,0.761646,0.975808,1.832235,0.700369,0.774586,0.953576,0.6931,2.189989,1.791048,1.444603,1.009372,0.884595
0.50519,0,0.464936,0,0.152529,0,0,0.418392,0,0.377412,0.142391,0.229451,0.284179,0,0,0.322404
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.965662,1.594069,1.926679,2.131126,1.700884,2.05697,2.711837,0.363617,2.9003,1.156629,1.339033,1.552681,2.59603,0.184845,3.579669,3.651534
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.852587,1.571393,0.963657,0.776526,1.646417,2.012605,1.683719,0.530314,1.54638,0.909636,1.412893,0,1.28722,1.099758,0,1.176422
1.291346,1.032854,1.078428,0.972951,1.032104,1.307155,0.846471,0.876621,0.994191,1.159012,1.250039,0.821138,1.101831,0.923147,1.120241,1.426436
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041486,0
19.640128,23.312465,19.23442,24.990511,43.47539,20.037309,28.900048,26.887076,47.477676,43.530169,48.691386,37.495222,37.201062,34.895483,42.959093,31.113107
0,0,0.356107,0.183901,0.145468,0,0.216717,0,0.295599,0.31332,0,0,0.393133,0,0.461808,0
0,0,0,0.139327,0,0.379389,0.173634,0.136193,0,0,0.101088,0.142077,0,0.14055,0,0.103208
10.023727,18.304601,15.099534,11.619791,18.213019,26.024247,19.978131,18.311105,24.459101,21.810099,10.49417,17.922473,20.446041,10.751422,21.273508,20.82437
0,0,0,0,0,0,0,0,0.642149,0,0,0,0,0,0,0
4.18436,3.915827,5.625738,3.464672,1.543548,3.145898,2.214602,0,0,3.990574,2.340006,3.307629,1.562107,1.356926,2.99632,3.639157
0.401279,0,0.088288,0.141092,0.055514,0.096091,0.255217,0.049296,0.480181,0.835148,0.17316,0.853334,0.07595,0.742106,0,0.520591
0.13559,0.143102,0,0,0.52262,0,0,0,0.116585,0,0.682171,0,0.157997,0,0.860425,0
0.128198,0.166098,0,0.077316,0.328282,0.381029,0.404753,0.275474,0.170002,2.308463,1.968218,0.158896,0.371321,0.550718,0.128197,0.720711
0.089853,6.683828,0.089637,7.089546,0,3.591194,3.489812,0.528803,0,0.987157,1.702008,0,0,3.927022,0.085995,4.58024
0.161328,4.142176,0,4.186297,0,2.144254,0,0.671359,0,0.854124,1.280359,0,0.103054,1.581944,0,1.837591
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384964,0
0,0,0,0,0,0,0,0,0,0,0.041241,0,0,0,0,0
15.237938,4.772829,10.062501,4.662523,8.74109,3.147871,6.771804,10.924499,5.703309,6.026658,6.808115,17.941994,19.54287,9.071749,17.569076,5.33413
6.180637,2.807957,4.170098,2.191738,5.217339,1.033426,3.087347,5.411119,4.25499,2.46721,4.600392,4.547745,7.172194,2.976676,7.406708,5.148446
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.209836,0,0,0,0,0,0,0,0.097627,0.076846,0,0,0,0,0,0.119638
0,0,0,0,0,0,0.422857,0,0,0,0,0,0,0,0.246644,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.577791,8.500427,8.896357,9.436156,1.59368,0.789457,1.334824,1.727219,3.828755,1.927562,2.022732,3.819865,8.320696,9.697012,10.252545,7.645448
5.044373,2.602245,5.015295,4.616531,2.644092,1.734953,2.705295,3.065571,2.482909,2.882819,2.218011,2.595145,3.82046,3.338458,1.510204,3.963334
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.826694,8.1944,10.54168,7.363228,4.701435,8.162625,5.61876,6.778223,6.128811,8.198671,10.130936,8.259311,5.173203,12.465844,7.740749,8.182182
144.637246,129.349124,128.734818,90.988204,157.054539,105.397096,112.472831,109.509292,181.815084,149.881119,167.869031,147.270898,112.255996,109.002052,128.576947,129.926113
1243.016697,1162.271751,1237.437151,1214.311531,926.911568,908.935251,919.384193,937.377566,778.825686,772.215782,926.810803,908.306609,898.808404,833.149411,925.648068,825.040643
1.494022,0.881939,1.645827,1.1032,1.712776,2.156635,2.080025,1.177233,1.631205,1.34028,1.576318,1.44023,1.736193,2.101535,1.698817,0.97632
61.099657,52.117798,69.621471,61.180199,51.775893,44.594603,55.525165,62.965325,64.287972,59.873133,52.969633,74.536082,59.180451,53.360259,60.347552,50.667241
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10632,0.061815,0.100105,0.054051,0.031513,0,0,0.052843,0.153901,0.037101,0.018556,0.116351,0,0.039667,0.140371,0.151495
0.782114,0,0,0.180241,0,0,0,1.038759,0,0,0,1.215597,0,0,0,0
